case_id,selection_category,selection_reason,assistant_proposed_labels_v1_0,researcher_reviewed_labels_v1_0,review_status,review_note,reviewer_initials,review_date
CXR1868,agent_retry_recovered,agent_retry_recovered,historical_support_retry_recovered;reference_inconsistent_answer;retrieval_relevance_gain;structured_output_failure,historical_support_retry_recovered;reference_inconsistent_answer;retrieval_relevance_gain;structured_output_failure,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
CXR2634,agent_retry_recovered,agent_retry_recovered,citation_repaired;historical_support_retry_recovered;retrieval_relevance_gain,citation_repaired;historical_support_retry_recovered;retrieval_relevance_gain,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
CXR3662,agent_retry_recovered,agent_retry_recovered,citation_repaired;historical_support_retry_recovered;retrieval_relevance_gain,citation_repaired;historical_support_retry_recovered;retrieval_relevance_gain,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
CXR796,agent_retry_recovered,agent_retry_recovered,citation_repaired;historical_support_retry_recovered;retrieval_relevance_gain,citation_repaired;historical_support_retry_recovered;retrieval_relevance_gain,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
CXR135,agent_retry_recovered,deterministic_revised_case_fill,historical_support_abstained;retrieval_relevance_gain,historical_support_abstained;retrieval_relevance_gain,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
CXR102,agent_historical_evidence_abstention,agent_historical_evidence_abstention,historical_support_abstained;reference_inconsistent_answer;retrieval_relevance_failure;structured_output_failure,historical_support_abstained;reference_inconsistent_answer;retrieval_relevance_failure;structured_output_failure,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
CXR1042,agent_historical_evidence_abstention,agent_historical_evidence_abstention,historical_support_abstained;reference_inconsistent_answer;retrieval_relevance_gain,historical_support_abstained;reference_inconsistent_answer;retrieval_relevance_gain,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
CXR1046,agent_historical_evidence_abstention,agent_historical_evidence_abstention,historical_support_abstained;retrieval_relevance_gain,historical_support_abstained;retrieval_relevance_gain,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
CXR1060,agent_historical_evidence_abstention,agent_historical_evidence_abstention,historical_support_abstained;reference_inconsistent_answer;retrieval_relevance_gain;structured_output_failure,historical_support_abstained;reference_inconsistent_answer;retrieval_relevance_gain;structured_output_failure,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
CXR1097,agent_historical_evidence_abstention,agent_historical_evidence_abstention,historical_support_abstained;reference_inconsistent_answer;retrieval_relevance_failure;structured_output_failure,historical_support_abstained;reference_inconsistent_answer;retrieval_relevance_failure;structured_output_failure,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
CXR114,agent_historical_evidence_abstention,agent_historical_evidence_abstention,historical_support_abstained;reference_inconsistent_answer;retrieval_relevance_failure;structured_output_failure,historical_support_abstained;reference_inconsistent_answer;retrieval_relevance_failure;structured_output_failure,accepted,Accepted the assistant-proposed V9 qualitative labels without modification; this researcher review is exploratory and is not independent clinical adjudication.,ZY,2026-08-19
